Bagé,Metodologias de Ensino em Planejamento e Avaliação de Projetos na Engenharia Química,Alexandre Denes Arruda,15/03/2019 - 28/02/2020
Bagé,MONITOR DE DESENHO E COMPONENTES AFINS,Cristiano Corrêa Ferreira,01/04/2019 - 31/12/2019
Bagé,Monitoria de Cálculo I,Denice Aparecida Fontana Nisxota Menegais,15/03/2019 - 31/12/2019
Bagé,Monitoria de Cálculo II,Francieli Aparecida Vaz,01/05/2019 - 31/12/2019
Bagé,Monitoria de Morfologia e Estudos de Fonética e Fonologia,Taíse Simioni,01/04/2019 - 31/12/2019
Bagé,Monitoria em Química Analítica,maria regina de oliveira casartelli,02/05/2019 - 30/12/2019
Bagé,Monitoria nos componentes da área de Química Orgânica: Integração e consolidação de conteúdos.,Elisabete de Avila da Silva,01/04/2019 - 15/12/2019
Bagé,Monitoria para Física Básica (I. II e III),Rafael Kobata Kimura,11/03/2019 - 31/01/2020
Bagé,Monitoria para Operações Unitárias de Engenharia de Alimentos I. II e III,Catarina Motta de Moura,02/05/2019 - 31/12/2019
Bagé,Monitoria: contribuição à formação acadêmico-profissional no ensino superior,Claudete da Silva Lima Martins,13/05/2019 - 31/12/2019
Bagé,PET - Visitas Técnicas,ESTEVÃN MARTINS DE OLIVEIRA,01/04/2019 - 22/12/2019
Bagé,PET CALOURO,ESTEVÃN MARTINS DE OLIVEIRA,18/03/2019 - 20/12/2019
Bagé,PET EVASÃO RETENÇAO,ESTEVÃN MARTINS DE OLIVEIRA,01/04/2019 - 20/12/2019
Bagé,Plano de Trabalho de Monitoria de Fenômenos de Transporte e Mecânica dos Fluidos Aplicada para o ano de 2019,Marcilio Machado Morais,15/05/2019 - 31/12/2019
Bagé,Preparo de materiais e proposições metodológicas de ferramentas para o ensino de Química.,maria regina de oliveira casartelli,02/05/2019 - 30/12/2020
Bagé,Produção de material didático para física básica: Cinemática e Dinâmica,Pedro Castro Menezes Xavier de Mello e Silva,15/08/2016 - 15/12/2019
Bagé,Produção de material didático para o ensino de Equações Diferenciais,Leandro Blass,06/03/2017 - 06/02/2021
Bagé,Programa de apoio ao ensino de eletromagnetismo,Luiz Fernando de Freitas Gutierres,13/03/2019 - 01/04/2020
Bagé,Projeto de Monitoria para os Componentes Curriculares Tecnologia de Produtos Lácteos e Tecnologia de Produtos Fermentados,Fernanda Germano Alves Gautério,01/04/2019 - 31/12/2019
Bagé,Projeto Quadro de Matemática,MARGARIDA MARIA RODRIGUES NEGRAO,22/03/2018 - 22/03/2020
Bagé,Quadro de Divulgação de Física,Mauro S,22/03/2018 - 22/03/2020
Bagé,TESTE ADMINISTRADOR,Administrador do Sistema,01/01/2013 - 31/12/2019
Bagé,Uma Proposta para o Ensino de Matemática: Desenvolvimento de Material Inovador com a utilização do Geogebra,Vera Lúcia Duarte Ferreira,31/01/2020
Bagé,Utilização da Educação a Distância nos componentes curriculares compartilhados do curso de Matemática-Licenciatura como material complementar aos cursos presenciais.,Everson Jonatha Gomes da Silva,01/03/2018 - 28/02/202
Bagé,"Utilização de sites e blogs como ferramenta de formação acadêmica na área de Engenharia, Ciência e Tecnologia de Alimentos",Miriane Lucas Azevedo,01/03/2018 - 31/12/2019
Bagé,Vídeo-aula sobre segurança em laboratório.,Fernando Junges,01/06/2018 - 31/05/2019
Caçapava do Sul,"Acervo litológico de áreas-chave do Escudo Sul-rio-grandense, parte 1: o Complexo Metamórfico Passo Feio",Tiago Rafael Gregory,01/10/2018 - 01/01/2022
Caçapava do Sul,Curso Básico de Modelagem Geológica e de Contaminação.,Luciana Arnt abichéquer,04/05/2019 - 18/12/2020
Caçapava do Sul,Ensinar para Aprender: a Monitoria,cristiane heredia gomes,01/01/2019 - 01/01/2021
Caçapava do Sul,"Monitoria de Petrografia Ígnea, Mineralogia II e Mapeamento geológico",Vinicius Matté,20/03/2019 - 18/12/2019
Caçapava do Sul,Projeto Pedreira Escola  Qualificando e aprofundando o conhecimento em Geociências,Felipe Guadagnin,28/03/2018 - 28/03/2020
Caçapava do Sul,Uso de modelos didáticos tridimensionais para o ensino de Geociências,Tiago Rafael Gregory,01/08/2017 - 01/08/2021
Dom Pedrito,AÇÕES EMPREENDEDORAS NO PAMPA: DISCUSSÕES ENTRE TEORIA E AÇÃO ATRAVÉS DO SEMINÁRIO ACADÊMICO DE EMPREENDEDORISMO NO PAMPA-SAEP,Shirley Grazieli da Silva Nascimento,20/03/2019 - 01/04/2021
Dom Pedrito,Apoio virtual para permanência e sucesso acadêmico na Unipampa: ações e orientações pedagógicas,Ana Cristina do Amaral Lovato,12/03/2018 - 31/12/2019
Dom Pedrito,Aproximação de alunos de bacharelado à prática docente de nível superior,Ignacio Pablo Traversa Tejero,01/03/2018 - 21/12/2019
Dom Pedrito,Arquivo digital de imagens do comportamento animal,Tisa Echevarria Leite,15/03/2019 - 31/12/2022
Dom Pedrito,Avaliação anatômico-fisiológica de aves domésticas,Lilian Kratz Vogt,29/05/2017 - 31/05/2019
Dom Pedrito,Avaliação do perfil dos egressos dos cursos de Zootecnia do Rio Grande do Sul,Angélica Pinho,10/03/2017 - 10/03/2020
Dom Pedrito,Avaliação do perfil dos egressos dos cursos de Zootecnia do Rio Grande do Sul,Angélica Pinho,10/03/2017 - 10/03/2020
Dom Pedrito,Biblioteca Livre Campus Dom Pedrito,Thiago Antonio Beuron,05/09/2018 - 04/09/2020
Dom Pedrito,Coleção Forrageira,José Acélio Silveira da Fontoura Júnior,01/03/2013 - 01/03/2022
Dom Pedrito,Comportamento na prática - equinos,Tisa Echevarria Leite,15/03/2019 - 31/03/2021
Dom Pedrito,Ensinando a Fisiologia da Videira no Vinhedo Experimental da UNIPAMPA,Juan Aguila,31/01/2018 - 30/01/2021
Dom Pedrito,Estágio Curricular em Ciências da Natureza: monitoria como estratégia pedagógica,CADIDJA COUTINHO,01/03/2019 - 31/12/2020
Dom Pedrito,Estimulando o pensamento evolutivo na formação docente: monitoria voluntária,CADIDJA COUTINHO,01/04/2019 - 31/12/2019
Dom Pedrito,INCLUSÃO DIGITAL PARA DISCENTES COM DEFICIÊNCIA INTELECTUAL NO ENSINO SUPERIOR,Maria Elaine de Leon,30/03/2018 - 30/03/2020
Dom Pedrito,Laboratório didático de Fitossanidade aplicado a cultura da videira,Elizete Beatriz Radmann,02/05/2017 - 30/04/2019
Dom Pedrito,Monitoria de Seis Disciplinas do Curso de Bacharelado em Enologia,Juan Aguila,05/02/2019 - 31/12/2019
Dom Pedrito,Monitoria em Produção Vegetal,Etiane Skrebsky Quadros,15/05/2019 - 20/12/2019
Dom Pedrito,Monitoria para a componente de Análise Numérica,janaína viário carneiro,01/05/2019 - 15/12/2019
Dom Pedrito,"Monitoria para as componentes curriculares de Química Geral, Bioquímica Geral e Análise Sensorial I",Suziane Antes Jacobs,01/05/2019 - 18/12/2019
Dom Pedrito,Monitoria para Produção de Forragem,José Acélio Silveira da Fontoura Júnior,06/03/2017 - 31/12/2020
Dom Pedrito,Nivelamento de alunos em condição de vulnerabilidade em ensino de Zootecnia,PAULO RODINEI SOARES LOPES,PAULO RODINEI SOARES LOPES
Dom Pedrito,Praticando a Zootecnia,Gladis Ferreira Corrêa,30/03/2019 - 21/12/2021
Dom Pedrito,PRÁTICAS DE LETRAMENTO ACADÊMICO INCENTIVADAS POR ATIVIDADES PEDAGÓGICAS EM AMBIENTES VIRTUAIS DE APRENDIZAGEM,Patrícia Forgiarini Firpo,01/04/2019 - 31/12/2019
Dom Pedrito,Programa Institucional de Bolsas de Iniciação a Docência - PIBID Ciências da Natureza,crisna daniela krause bierhalz,24/01/2019 - 31/03/2020
Dom Pedrito,Promovendo o ensino e a aprendizagem de Equinocultura e Reprodução Animal no curso de Zootecnia através de uma Metodologia Interativa,Adriana Pires Neves,01/03/2019 - 31/12/2019
Dom Pedrito,Rural em Imagens  Edição Dom Pedrito,Shirley Grazieli da Silva Nascimento,20/03/2019 - 01/04/2021
Itaqui,A monitoria como instrumento de apoio às atividades teórico-práticas na Dietoterapia I e II,Karina Sanches Machado d'Almeida,01/03/2019 - 31/12/2019
Itaqui,Monitoria Física,Caroline Jaskulski Rupp,11/03/2019 - 11/03/2020
Itaqui,A importância da monitoria no componente curricular de Bioquímica de Alimentos.,Gustavo Petri Guerra,01/05/2019 - 18/12/2019
Itaqui,A monitoria como ferramenta de melhoria da aprendizagem e apoio na redução da evasão e retenção nas componentes curriculares Ciência e Tecnologia de Leite e Derivados e Tecnologia dos Alimentos,Graciela Salete Centenaro,20/03/2019 - 31/12/2019
Itaqui,Acompanhamento do aprendizado de alunos utilizando Learning Analytics em Ambientes Virtuais de Aprendizagem,Cristiano Galafassi,01/03/2018 - 31/12/2019
Itaqui,Ambiente Virtual de Ensino em Laboratório de Química - Projeto AQuí,Adriane Lettnin Roll Feijó,01/04/2019 - 01/03/2021
Itaqui,Análise de Métodos Científicos em Publicações nas Áreas de Agronomia e Engenharia,Maria Fernanda Antunes da Cruz,18/03/2019 - 18/03/2021
Itaqui,Desenvolvimento de canal no Youtube sobre o curso de Nutrição,Joice Trindade Silveira,01/04/2019 - 01/04/2021
Itaqui,Elaboração de um material bibliográfico para disciplinas relacionadas à estatística básica,Gilberto Rodrigues Liska,01/03/2019 - 31/01/2021
Itaqui,Estratégias interdisciplinares de estímulo a permanência dos acadêmicos no ensino superior,Leomar Hackbart da Silva,01/04/2018 - 01/04/2020
Itaqui,Estudo das Plantas Alimentícias Não Convencionais do Campus Itaqui/Unipampa,Luciana Zago Ethur,19/03/2019 - 31/12/2019
Itaqui,Guia acadêmico no curso de Nutrição,Joice Trindade Silveira,11/03/2019 - 11/03/2021
Itaqui,Implantação de Campo Agrostológico para estudo de espécies de plantas forrageiras,Eduardo Bohrer de Azevedo,15/03/2019 - 14/03/2021
Itaqui,Infectário de Fitopatologia,Renata Silva Canuto de Pinho,Renata Silva Canuto de Pinho
Itaqui,"Introdução ao AutoCad",Robert Martins da Silva,01/04/2019 - 31/12/2019
Itaqui,Laboratório de Educação Matemática: implementação a partir da interface entre práticas de pesquisa e ensino,Deise Pedroso Maggio,01/04/2019 - 31/12/2020
Itaqui,Monitoria das topografias,Robert Martins da Silva,01/04/2019 - 31/12/2019
Itaqui,Monitoria de Álgebra Linear,Fábio Lucas Izaguirre Martins,16/05/2018 - 16/05/2019
Itaqui,Monitoria de Bioquímica e Bioquímica Avançada,Marina Prigol,11/03/2019 - 18/12/2019
Itaqui,"Monitoria de Cálculo I, II e Trigonometria",KARLA BEATRIZ VIVIAN SILVEIRA,15/03/2019 - 30/12/2019
Itaqui,"Monitoria de Máquinas, Mecanização Agrícola e Construções Rurais",Alexandre Russini,12/03/2019 - 18/12/2019
Itaqui,Monitoria de Química,Caroline Raquel Bender,11/03/2019 - 18/12/2019
Itaqui,Monitoria em Biologia Geral,Maria Fernanda Antunes da Cruz,18/03/2019 - 18/03/2020
Itaqui,"Monitoria em Componentes Curriculares de Avicultura e Suinocultura, Bromatologia Animal, Bromatologia e Nutrição Animal e Nutrição Animal",Bruno Neutzling Fraga,11/03/2019 - 18/12/2019
Itaqui,Monitoria em Entomologia Geral e Entomologia Agrícola,Fernando Felisberto da Silva,11/03/2019 - 18/12/2019
Itaqui,Monitoria em Genética e Biotecnologia Vegetal,Adriana Pires Soares Bresolin,19/03/2019 - 19/12/2019
Itaqui,Monitoria em Informática e Algoritmos e Programação,Fabiane Flores Penteado Galafassi,01/04/2019 - 18/12/2019
Itaqui,Monitoria em Informática e Programação,Rogério Rodrigues de Vargas,15/05/2019 - 18/12/2019
Itaqui,MONITORIA NA ÀREA DE CIÊNCIA E TECNOLOGIA DE GRÃOS,Leomar Hackbart da Silva,01/05/2019 - 31/12/2019
Itaqui,Monitoria no componente curricular de Bromatologia (2019),Tiago Andre Kaminski,11/03/2019 - 18/12/2019
Itaqui,Monitoria no ensino de microbiologia para a área de alimentos,Paula Fernanda Pinto da Costa,01/05/2019 - 31/12/2019
Itaqui,Monitoria nos componentes curriculares de Fitopatologia I e Fitopatologia II,Renata Silva Canuto de Pinh,01/04/2019 - 18/12/2019
Itaqui,"Monitoria nos componentes curriculares de Matérias-Primas Alimentícias, Tecnologia de Produtos de Origem Animal e Tecnologia de Produtos de Origem Vegetal",Aline Tiecher,11/03/2019 - 18/12/2019
Itaqui,Monitoria para componentes curriculares relacionados à Estatística do campus Itaqui,Gilberto Rodrigues Liska,01/03/2017 - 01/03/2021
Itaqui,Monitoria para Morfologia Vegetal e Botânica Sistemática,Luciana Zago Ethur,01/05/2019 - 31/12/2019
Itaqui,Monitoria para Técnica dietética I e Nutrição experimental,Fernanda Aline de Moura,11/03/2019 - 18/12/2019
Itaqui,Monitoria teórico-prática de física,ROLANDO LARICO MAMANI,11/03/2019 - 11/12/2019
Itaqui,Monitoria uma forma de aprende a ensinar,Angelita Machado Leitão,10/04/2019 - 18/12/2019
Itaqui,MOSTRA DE SUCULENTAS: ORNAMENTAÇÃO E APRENDIZADO,Luciana Zago Ethur,10/10/2018 - 10/10/2020
Itaqui,Plágio na pesquisa científica: como evitar?,Aline Tiecher,20/07/2017 - 20/07/2019
Itaqui,Produção de um portfólio de Fichas Técnicas de preparações elaboradas no componente curricular Técnica Dietética I,Fernanda Aline de Moura,01/11/2017 - 01/11/2019
Itaqui,Proposta metodológica de ensino de Física na Engenharia de Agrimensura,ROLANDO LARICO MAMANI,01/02/2017 - 31/01/2020
Itaqui,Qualificação do processo de ensino-aprendizagem de geotecnologias a partir da monitoria,Sidnei Luís Bohn Gass,02/05/2019 - 18/12/2019
Itaqui,Recursos Genéticos Vegetais: Conservação e Uso como ferramenta didática,Adriana Pires Soares Bresolin,30/03/2019 - 30/12/2020
Jaguarão,Elaboração e atualização do currículo Lattes,Patrícia Schneider Severo,30/05/2017 - 30/05/2019
Jaguarão,Ensinando livros: aprendendo história com romances,Cássia Daiane Macedo da Silveira,01/01/2019 - 30/03/2020
Jaguarão,Grupo de Estudos e Pesquisas AFROnteiras Negras Unipampa,Giane Vargas escobar,19/03/2018 - 31/12/2019
Jaguarão,LAPEH: a construção e organização do Laboratório de Pesquisa em Ensino de História da UNIPAMPA/Jaguarão.,J,11/03/2019 - 31/07/2020
Jaguarão,Monitoria acadêmica como auxílio ao componente de Empreendedorismo,Patrícia Schneider Severo,30/05/2017 - 30/05/2019
Jaguarão,Monitoria de Tecnologias da Informação e da Comunicação Aplicadas a Educação,Cláudia Camerini Corrêa Pérez,22/08/2013 - 22/12/3013
Jaguarão,"PAMPATUR: Hospitalidade, Turismo e Organização de Viagens",Alessandra Buriol Farinha,30/07/2017 - 30/07/2019
Jaguarão,Pedalando com Turismo - 2ª edição.,Adriana Pisoni da Silva,01/05/2019 - 13/12/2019
Santana do Livramento,Auxiliando a Coordenação no Ensino e Aprendizagem dos Alunos,Gabriela Cappellari,02/01/2019 - 31/12/2020
Santana do Livramento,Café com Conteúdo: Gestão de Pessoas na Prática,Katiuscia Schiemer Vargas,25/03/2019 - 09/07/2019
