Campus,Descrição ,Coordenador ,Validade
Bagé,confraria poética,Vera Lúcia Cardoso Medeiros,06/04/2018 - 31/03/2021
Bagé,CPEn Jr. Empresa Júnior da Engenharia Química,Alexandre Denes Arruda,05/04/2017 - 05/04/2020
Bagé,CURSO DE FORMAÇÃO CONTINUADA PARA PROFISSIONAIS DE EDUCAÇÃO BÁSICA - ENERGIA E MEIO AMBIENTE,Cristine Machado Schwanke,01/03/2018 - 31/03/2021
Bagé,Debate e Democracia no Pampa,Sergio Meth,01/08/2018 - 31/07/2021
Bagé,Difundindo Ciência e Tecnologia na Região da Campanha - UNIPAMPA campus Bagé 2016 - 2018,Edson Massayuki Kakuno,01/03/2016 - 31/12/2020
Bagé,Eficiência Energética na escola,Luiz Fernando de Freitas Gutierres,03/03/2017 - 03/02/2020
Bagé,Eficiência energética na escola (terceira etapa),Luiz Fernando de Freitas Gutierres,18/02/2019 - 01/04/2020
Bagé,ENCONTRO 2018 PROEXT-CAMPUS BAGÉ & MOMENTO HEFORSHE: FAZER EXTENSÃO E CULTURA NO CAMPUS BAGÉ,Cristine Machado Schwanke,13/11/2018 - 01/07/2019
Bagé,Encontros de Ensino de Física na Região da Campanha,Pedro Fernando Teixeira Dornles,07/03/2018 - 15/12/2020
Bagé,Flauteando por Bagé,Elaine Martha Daenecke,10/02/2018 - 20/02/2021
Bagé,Grupo de Choro da Unipampa,Lu,17/05/2018 - 13/12/2019
Bagé,Gurias do Pampa nas Exatas,Márcia Maria Lucchese,01/03/2018 - 31/12/2019
Bagé,II SEMINÁRIO DE GESTÃO DE RESÍDUOS,Cristine Machado Schwanke,28/05/2018 - 28/06/2019
Bagé,INSERÇÃO DA PROTOTIPAGEM 3D NO PROCESSO DE DESENVOLVIMENTO DE PRODUTOS PARA PROFISSIONAIS DA EDUCAÇÃO,Cristiano Corrêa Ferreira,01/04/2019 - 31/03/2022
Bagé,"Instituição Escolar Mélanie Granier: Patrimônio, Acervo e História",Alessandro Carvalho Bica,01/04/2019 - 31/12/2019
Bagé,Laboratório de Leitura e Produção Textual: Escrita colaborativa e experimental no Jornal Universitário do Pampa - Etapa II,Clara Zeni Camargo Dornelles,05/07/2017 - 08/10/2020
Bagé,LITERATURA AFRO-BRASILEIRA  Abordagem Introdutória  Modalidade: MINICURSO,Miriam Denise Kelm,30/03/2019 - 13/07/2019
Bagé,MEMORIAL PEDRO WAYNE: TRAÇOS LITERÁRIOS DE MEMÓRIA E ENSINO,Vanessa Abreu Dias,10/01/2018 - 30/05/2019
Bagé,Meninas Exatas,Ana Paula Ludtke Ferreira,20/03/2019 - 26/02/2021
Bagé,"Momentos Unipampa Gênero e Sexualidade: feminismos, masculinidades e diversidade em debate.",Lessandra Merladet de Barros,11/03/2019 - 20/12/2019
Bagé,Monumentos Históricos da Região da Campanha  Conhecendo para Preservar,Luciana Machado Rodrigues,15/04/2019 - 14/04/2021
Bagé,Mulheres e a Matemática,Francieli Aparecida Vaz,01/05/2019 - 31/12/2019
Bagé,Música e Saúde mental,Gilnara da Costa Corrêa Oliveira,26/03/2019 - 11/12/2020
Bagé,Musicalização para bebês e crianças II,Carla Lopardo,02/04/2019 - 31/12/2019
Bagé,Nivelamento em Matemática - Modalidade EaD,Everson Jonatha Gomes da Silva,01/03/2018 - 30/12/2020
Bagé,Núcleo de Línguas Adicionais,Sara dos Santos Mota,20/03/2019 - 28/02/2020
Bagé,OFICINA DE BIODIESEL E EDUCAÇÃO AMBIENTAL: UMA ESTRATÉGIA DE APRENDIZAGEM,Cristine Machado Schwanke,10/03/2016 - 10/03/2020
Bagé,Pampa Circular  Danças Circulares no Pampa,Claudia Laus Angelo,18/02/2019 - 31/12/2020
