,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Jaguarão,Especialização em Gestão da Educação Básica: articulações entre o político e o pedagógico,Integral, 4 semestres,360 horas,Especialização/lato sensu,Presencial
Jaguarão,Especialização em Gestão Estratégica em Turismo,Noturno,n/a,n/a,Especialização/lato sensu,Presencial
Jaguarão,Especialização em Direitos Humanos e Cidadania,Integral,n/a,n/a,ESPECIALISTA,Presencial
Jaguarão,Gestão de Turismo,Noturno,6 semestres, 1680 horas,TECNÓLOGO EM GESTÃO DE TURISMO,Presencial
Jaguarão,História,Noturno,n/a,n/a, LICENCIADO EM HISTÓRIA,Presencial
Jaguarão,Letras - Espanhol e Literatura Hispânica,Noturno,8 semestres,3200 horas,Licenciatura,Presencial
Jaguarão,Letras - Português e Espanhol,Noturno,9 semestres, 3290 horas,LICENCIADO EM LETRAS,Presencial
Jaguarão,Letras - Português e Literaturas de Língua Portuguesa,Noturno,8 semestres,3200 horas, Licenciatura,Presencial
Jaguarão,Letras Português,Noturno,8 semestres, 3245 horas, Licenciado em Letras Português,UAB
Jaguarão,Letras Português,Integral,8 semestres,3245 horas,Licenciado em Letras Português,EAD
Jaguarão,Mestrado em Educação,Integral,n/a,n/a,Mestre em Educação,Presencial
Jaguarão,Pedagogia,Noturno,9 semestres,3220 horas, LICENCIADO EM PEDAGOGIA,Presencial
Jaguarão,Pedagogia,Integral,8 semestres, 3640 horas,LICENCIATURA,UAB
Jaguarão,Produção e Política Cultural,Integral,8 semestres,2500 horas,BACHAREL EM PRODUÇÃO E POLÍTICA CULTURAL,Presencial
