Jaguarão,Letras Português,Noturno,8 semestres, 3245 horas, Licenciado em Letras Português,UAB
Jaguarão,Letras Português,Integral,8 semestres,3245 horas,Licenciado em Letras Português,EAD
Jaguarão,Mestrado em Educação,Integral,n/a,n/a,Mestre em Educação,Presencial
Jaguarão,Pedagogia,Noturno,9 semestres,3220 horas, LICENCIADO EM PEDAGOGIA,Presencial
Jaguarão,Pedagogia,Integral,8 semestres, 3640 horas,LICENCIATURA,UAB
Jaguarão,Produção e Política Cultural,Integral,8 semestres,2500 horas,BACHAREL EM PRODUÇÃO E POLÍTICA CULTURAL,Presencial
Santana do Livramento,Administração,Matutino,9 semestres,3060 horas,BACHAREL EM ADMINISTRAÇÃO,Presencial
Santana do Livramento,Administração,Noturno,9 semestres,3060 horas,BACHAREL EM ADMINISTRAÇÃO,Presencial
Santana do Livramento,Administração Pública,Integral,9 semestres,3120 horas,Bacharel,UAB
Santana do Livramento,Ciências Econômicas,Noturno,8 semestres,3000 horas,BACHAREL EM CIÊNCIAS ECONÔMICAS,Presencial
Santana do Livramento,Direito,Integral,10 semestres,3870 horas,BACHAREL EM DIREITO,Presencial
Santana do Livramento,Gestão Pública,Noturno,6 semestres,1170 horas,TECNÓLOGO EM GESTÃO PÚBLICA,Presencial
Santana do Livramento,Relações Internacionais,Integral,8 semestres,3000 horas,BACHAREL EM RELAÇÕES INTERNACIONAIS,Presencial
São Borja,Especialização em Comunicação Não-violenta e Cultura de Paz,Integral,n/a,360 horas,Especialização/lato sensu,Presencial
São Borja,Especialização em Políticas de Atenção à Criança e Adolescente em Situação de Violência,Integral,4 semestres,360 horas,Especialização/lato sensu,Presencial
São Borja,Jornalismo,Integral,8 semestres,3060 horas,BACHAREL EM COMUNICAÇÃO SOCIAL - JORNALISMO,Presencial
São Borja,Mestrado em Comunicação e Indústria Criativa,Noturno,4 semestres,360 horas,Mestrado Profissional,Presencial
São Borja,Ciências Humanas,Noturno,10 semestre,3770 horas,LICENCIADO EM CIÊNCIAS HUMANAS,Presencial
São Borja,Ciências Sociais - Ciência Política,Noturno,8 semestres,2400 horas,BACHAREL EM CIÊNCIA POLÍTICA,Presencial
São Borja,Comunicação Social - Publicidade e Propaganda,Integral,8 semestres,2910 horas,BACHAREL EM COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,Presencial
São Borja,Direito,Noturno,10 semestre,3855 horas,Bacharel,Presencial
São Borja,Geografia,Integral,8 semestres, 3410 horas,Licenciatura,UAB
São Borja,Mestrado em Políticas Públicas,Integral,4 semestres,360 horas,MESTRADO PROFISSIONAL,Presencial
São Borja,Relações Públicas,Noturno,Noturno, 3245 horas,BACHAREL EM RELAÇÕES PÚBLICAS,Presencial
São Gabriel,Biotecnologia,Integral,8 semestres, 3200 horas,BACHAREL EM BIOTECNOLOGIA,Presencial
São Gabriel,Ciências Biológicas,Integral,8 semestres, 3200 horas, BACHAREL EM CIÊNCIAS BIOLÓGICAS,Presencial
São Gabriel,Ciências Biológicas,Integral,8 semestres,3525 horas,LICENCIADO EM CIÊNCIAS BIOLÓGICAS,Presencial
São Gabriel,Doutorado em Ciências Biológicas,Integral,n/a,n/a, Doutorado em Ciências Biológicas,Presencial
São Gabriel,Engenharia Florestal,Integral,10 semestres,4425 horas,BACHAREL EM ENGENHARIA FLORESTAL,Presencial
São Gabriel,Especialização em Práticas de Ensino Interdisciplinares,Integral,4 semestres,360 horas, Especialização Lato/Sensu,Presencial
São Gabriel,Gestão Ambiental,Noturno,9 semestres,2800 horas, BACHAREL EM GESTÃO AMBIENTAL,Presencial
São Gabriel,Mestrado em Ciências Biológicas,Integral,n/a,360 horas,Mestre em Ciências Biológicas,Presencial
Uruguaiana ,Medicina,Integral,12 semestres, 8090 horas,Bacharelado,Presencial
Uruguaiana ,Aquicultura,vespertino,6 semestres,2040 horas,TECNÓLOGO EM AQUICULTURA,Presencial
Uruguaiana ,Ciências da Natureza,Noturno,9 semestres,3270 horas,LICENCIADO EM CIÊNCIAS DA NATUREZA,Presencial
Uruguaiana ,Educação Física,Noturno,8 semestres,3035 horas,LICENCIADO EM EDUCAÇÃO FÍSICA,Presencial
Uruguaiana ,Enfermagem,Integral,10 semestres, 4000 horas,BACHAREL EM ENFERMAGEM,Presencial
Uruguaiana ,Farmácia,Integral,10 semestres,4370 horas,BACHAREL EM FARMÁCIA,Presencial
Uruguaiana ,Fisioterapia,Integral,10 semestres, 4000 horas,BACHAREL EM FISIOTERAPIA,Presencial
Uruguaiana ,Medicina Veterinária,Integral,10 semestres, 4305 horas,BACHAREL EM MEDICINA VETERINÁRIA,Presencial
