Influência da competição no crescimento de espécies florestais em um fragmento de Floresta Estacional na Região Central do Rio Grande do Sul|Bruna Denardin da Silveira|15/10/2018 - 31/03/2021
Influencia temporal e antrópica na qualidade da água em açudes|André Carlos Cruz Copetti|01/03/2019 - 20/12/2020
Mecanismos envolvidos na neuroproteção e na neurodegeneração: ênfase nos sistemas glutamatérgico, purinérgico, colinérgico e dopaminérgico.|Lucia Helena do Canto Vinadé|01/07/2016 - 01/01/2020
PPEE|Sérgio Dias da Silva|01/04/2009 - 01/04/2029
Produção de Serapilheira em uma floresta nativa na Região Central do RS, Brasil|HamiltonLuiz Munari Vogel|10/02/2017 - 10/02/2020
PROJETO GUARDA-CHUVA - MELHORAMENTO  GENÉTICO DE PLANTAS|Velci Queiroz de Souza|24/05/2018 - 21/05/2022
Projeto Mamíferos RS: Padrões de diversidade de mamíferos no Pampa do Rio Grande do Sul|Carlos Benhur Kasper|01/08/2017 - 30/07/2021
Relação do Microbioma ruminal com a nutrição de ruminantes em pastejo|luiz Fernando Wurdig Roesch|01/01/2017 - 01/01/2020
Sensibilidade e tolerância térmica dos anfíbios anuros na região do Refúgio de Vida Silvestre dos Campos de Palmas, Paraná|Tiago Gomes dos Santos|14/02/2018 - 30/12/2020
Sensoriamento Remoto para identificação e monitoramento do uso e cobertura da terra na microrregião Campanha Central/RS|Aline Biasoli Trentin|01/03/2017 - 31/03/2020
Ureases como toxinas multifuncionais: Fatores de virulência de microrganismos e potenciais agentes inseticidas e antifúngicos|Chariston André Dal Belo|01/03/2017 - 01/03/2020
Uso de Nauphoeta cinerea para seleção de fungos entomopatogênicos|Igor Poletto|10/05/2018 - 30/04/2021
Validação de método para determinação de glifosato, AMPA e ácido chiquímico em tecido foliar por HPLC-UV-VIS|Simone Noremberg Kunz|03/04/2017 - 31/03/2020
Venenos do Pampa: Estudo multidisciplinar de venenos e peçonhas de origem animal, caracterização bioquímica e neurofarmacológica.|Chariston André Dal Belo|01/12/2018 - 01/12/2022
