Flores do Campus|Claudete Izabel Funguetto|01/04/2019 - 31/12/2021
Formação em Ecoesporte|Phillip Vilanova Ilha|06/03/2017 - 06/03/2020
Fotoeducação: Promoção ao uso de fotoprotetores e prevenção do câncer de pele|sandra elisa haas|18/03/2019 - 31/12/2021
GILABS  Ginástica Laboral para Servidores|Susane Graup|11/03/2019 - 31/12/2021
Grupo de Trabalho Pecuária do Amanhã|Ricardo Pedroso Oaigen|01/02/2016 - 31/12/2019
Hábitos posturais decorrente do peso das mochilas em escolares do ensino médio e fundamental: como educar a postura?|Nelson Serrão|01/05/2017 - 01/05/2020
III Seminário de Inovação Pedagógica: vivências acadêmico-profissionais|Elena Maria Billig Mello|24/05/2019 - 20/12/2019
IMPACTO DO MEIO AMBIENTE NA SAÚDE DAS CRIANÇAS E ADOLESCENTES|MARILYN NILDA ESTHER URRUTIA DE PEREIRA|15/03/2019 - 15/03/2020
INFECÇÕES SEXUALMENTE TRANSMISSÍVEIS (IST): AÇÕES EDUCATIVAS E PREVENTIVAS|João Felipe Peres Rezer|30/09/2018 - 01/12/2020
Iniciação Esportiva ao Tênis de Campo|Susane Graup|11/03/2019 - 31/12/2021
Língua de sinais e surdez: uma mediação cultural|Valéria Scangarelli|04/04/2018 - 31/12/2019
Microbiologia vai à escola|Cheila Denise Ottonelli Stopiglia|01/03/2019 - 21/12/2020
Mostra de Plantas Repelentes de Mosquitos Transmissores de Doenças  2019|Claudete Izabel Funguetto|26/03/2019 - 31/12/2019
Mulheres na Bioquímica- um projeto de Cientistas do Pampa|Daiana Silva de Ávila|01/05/2019 - 01/05/2021
MULHERES PESCADORAS DO PAMPA|Claudete Izabel Funguetto|03/03/2016 - 31/12/2019
Mulheres Pescadoras do Pampa|Claudete Izabel Funguetto|10/03/2017 - 31/12/2020
Noite da Pecuária|Guilherme de Medeiros Bastos|20/03/2019 - 09/12/2019
Nós: Adolescência, saúde e direitos sexuais e reprodutivos|Fabiane Ferreira da silva|01/05/2019 - 30/11/2019
O Cerro do Jarau: Um laboratório cultural e astronômico|Eliade Ferreira Lima|01/03/2017 - 01/03/2020
Oficinas de esportes|Phillip Vilanova Ilha|06/02/2017 - 06/02/2020
Organização de uma linha de cuidado voltada a escolares expostos a drogas lícitas e ilícitas em escolas municipais e estaduais do Município de Uruguaiana - RS|Luís Flávio Souza de Oliveira|01/10/2016 - 30/01/2020
P.A.C.T.O.  Programa de Avaliação do Condicionamento Físico e Treinamento Orientado à competição|Felipe Pivetta Carpes|01/11/2016 - 01/11/2019
Parent in Science  Divulgação Científica|Alessandra Sayuri Kikuchi Tamajusuku Neis|04/03/2019 - 23/12/2019
Perfil Epidemiológico do Índice de Massa Corpórea (IMC), Frequência Cardíaca (FC) e sua relação com a Obesidade em Escolares da Rede Pública de Educação: como evitar este problema de Saúde Pública?|Nelson Serrão|01/05/2017 - 01/05/2020
PodCast Ciência no Velho Oeste: Divulgando a pesquisa da UNIPAMPA  Campus Uruguaiana para a Comunidade!|Michel Mansur Machado|01/01/2017 - 31/12/2019
POPNEURO: Ações para divulgação e popularização da neurociência junto à comunidade escolar de Uruguaiana/RS|Pâmela Billig Mello Carpes|01/03/2017 - 31/12/2019
Práticas Integradas em Saúde Coletiva|Aleksandra Sharapin Sagrilo|01/12/2016 - 01/12/2019
PRENDAS: Promovendo Reflexões ENnfatizando Demandas e Autonomias em Saúde|Rovana Kinas Bueno|01/04/2019 - 31/12/2019
Programa de Apoio e Inovações na Gestão e Atenção no SUS|luana ribeiro borges|10/03/2017 - 10/03/2020
PROGRAMA DE ASMA NA ESCOLA (ETAPA 1)|MARILYN NILDA ESTHER URRUTIA DE PEREIRA|01/08/2017 - 01/07/2019
Programa de diagnóstico de enfermidades virais em animais domésticos da Fronteira Oeste do RS.|Mário Celso Sperotto BRum|01/03/2019 - 31/12/2021
Programa de Educação Física nos anos iniciais|Jaqueline Copetti|01/02/2017 - 31/12/2019
Projeto Carroceiro 2019/2020|Claudia Acosta Duarte|01/04/2019 - 31/12/2020
PROJETO EDUCAÇÃO FÍSICA PARA ALÉM DA PRÁTICA|Mauren Assis de Souza|01/03/2019 - 31/12/2020
Projeto Equilibrium|Rodrigo de Souza Balk|25/03/2018 - 25/03/2020
Promovendo a qualidade de vida através do Ambulatório de Doenças Infecciosas (AMDI), Parte I: Implantação|sandra elisa haas|18/03/2019 - 31/12/2021
PROMOVENDO A SAÚDE DE ESTUDANTES EM ANOS INICIAIS COM DIFICULDADES DE APRENDIZAGEM|Simone Lara|01/03/2019 - 01/03/2022
PROMOVENDO CONHECIMENTO: DOENÇAS INFECTOCONTAGIOSAS EM UMA UNIDADE DO EXÉRCITO BRASILEIRO DE FRONTEIRA|João Felipe Peres Rezer|15/04/2019 - 15/12/2020
Promovendo saúde: qualidade de vida para doentes renais em hemodiálise|Shana Hastenpflug Wottrich|13/03/2017 - 13/03/2020
Rádio-educação: dialogando com a comunidade|Fabiane Moreira Farias|15/03/2019 - 20/12/2019
REJUVENESCER COM PILATES|Silvia Luci de Almeida Dias|13/03/2017 - 13/03/2020
Respirar|Giulia Alesandra Wiggers Peçanha|01/03/2019 - 01/03/2021
REVITALIZE-SE COM ISOSTRETCHING|Silvia Luci de Almeida Dias|13/03/2017 - 13/03/2020
Sensibilização de crianças sobre a posse responsável de animais.|Marcelo Dal Pozzo|12/03/2018 - 12/03/2021
TAES: MEXA-SE COM PILATES|Silvia Luci de Almeida Dias|13/03/2017 - 13/03/2020
Tambo de Leite da Unipampa como unidade demonstrativa de produção para a Fronteira Oeste|Deise Dalazen Castagnara|10/12/2015 - 08/12/2020
Teste do Pezinho: valorização da vida do seu bebê.|VANUSA MANFREDINI|01/04/2019 - 01/04/2021
Treinamento Prático e Atualização em Processos Chave no Laboratório de Microbiologia Clínica|Vanessa Bley Ribeiro|01/06/2018 - 31/10/2020
Unipampa Solidária|Camila Simonetti Pase|01/04/2019 - 01/04/2023
VIII Curso de Neurociência Aplicada à Educação|Pâmela Billig Mello Carpes|01/03/2019 - 31/12/2019
X Simpósio em Neuromecânica Aplicada|Felipe Pivetta Carpes|04/03/2019 - 30/12/2019
XIV COPA PAMPA VET  PROMOVENDO O DESENVOLVIMENTO ESPORTIVO, ARTÍSTICO E CULTURAL JUNTO À COMUNIDADE DE URUGUAIANA-RS|Claudete Izabel Funguetto|04/05/2019 - 05/05/2019
Mãe do bem: a importância do Pré-natal|Vanessa Bley Ribeiro|15/04/2019 - 30/09/2019
Mãe do bem: a importância do Pré-natal|Vanessa Bley Ribeiro|15/04/2019 - 30/09/2019
PROJETO GAIA: VIGILÂNCIA E ESTRATÉGIAS DE EDUCAÇÃO AMBIENTAL EM SAUDE NA TRÍPLICE FRONTEIRA DO RIO GRANDE DO SUL|Débora da Cruz Payão Pellegrini|02/05/2019 - 02/05/2021
