Formação Continuada Institucional|Suzana Schwartz|11/04/2019 - 31/12/2020
EFEITO DA ADIÇÃO DE ÁGUA NA GASEIFICAÇÃO DO CARVÃO DA JAZIDA DE CANDIOTA-RS|Ana Rosa Costa Muniz|01/04/2018 - 31/03/2020
Efeitos citotóxicos de nanopartículas de óxido de zinco sobre as microalgas Spirulina Platensis e Synechococcus nidulans|Paulo Fernando Marques Duarte Filho|25/03/2019 - 31/12/2019
Eletrodeposição e caracterização de filmes finos de ZnO para produção de células solares de baixo custo|ANDRE GUNDEL|01/04/2016 - 31/03/2020
EMBALAGENS ATIVAS A BASE DE BIOPOLÍMEROS INCORPORADAS COM EXTRATOS ANTIMICROBIANOS E ANTIOXIDANTES|GABRIELA SILVEIRA DA ROSA|01/08/2018 - 31/07/2020
Estudo da adsorção de corantes empregando a MCM-41 sintetizada a partir da casa do arroz como adsorvente|Tânia Regina de Souza|21/03/2018 - 15/12/2019
Estudo da adsorção do corante azul de metileno por resíduos de mamão Formosa, Angico-vermelho e Acácia-negra|André Ricardo Felkl de Almeida|06/04/2018 - 17/12/2021
Estudo da Secagem de Grãos de Cevada (Hordeum vulgare L.) em Secador de Leito Fixo e Secadores de Leitos Móveis do Tipo Jorro e Fluidizado|André Ricardo Felkl de Almeida|18/10/2017 - 30/09/2021
Estudo da Secagem de Sementes de Cevadilha Crioula/Vacariana (Bromus auleticus Trinius) em Secador de Leito Fluidizado|André Ricardo Felkl de Almeida|09/05/2018 - 20/12/2021
Estudo da síntese da zeólita tipo A a partir de cinzas leves do processo de gaseificação do carvão mineral de Candiota/RS e utilização como material adsorvente|André Ricardo Felkl de Almeida|25/10/2017 - 30/09/2019
Estudo de processos de hidrólise aplicados em biomassas: butiá e microalgas para obtenção de açúcares redutores.|Fernando Junges|01/05/2018 - 30/04/2020
Estudo do processo de adsorção de corantes por resíduo agrícola de azevém (Lolium multiflorum Lam.) moído, tratado e modificado para carvão ativado|André Ricardo Felkl de Almeida|15/09/2017 - 14/08/2019
Estudo teórico de um modelo integrável de quatro modos|Leandro Hayato Ymai|12/03/2019 - 31/12/2020
Exploração Tecnológica das Potencialidades do Fruto e dos Resíduos do Processamento da Olivicultura na Região da Campanha - RS|Fernanda Germano Alves Gautério|01/03/2017 - 28/02/2021
Extração do óleo essencial do Butia capitata e do óleo da Carya illinoensis|Tânia Regina de Souza|17/06/2017 - 17/06/2019
EXTRAÇÃO E CARACTERIZAÇÃO DA OLEORRESINA DE PIMENTAS (Capsicum baccatum var. pendulum)|Valéria Terra Crexi|05/05/2019 - 05/05/2020
Extração e recuperação da lignina presente na casca de arroz  segunda fase|Marcilio Machado Morais|01/04/2019 - 31/12/2020
Feiras de ciências estimulam a alfabetização científica dos estudantes da Educação Básica?|Pedro Fernando Teixeira Dornles|01/03/2018 - 28/02/2021
GALACTO-OLIGOSSACARÍDEOS: SÍNTESE, SEPARAÇÃO E CONCENTRAÇÃO|Ana Paula Manera|01/02/2016 - 30/01/2020
Geleia Gourmet de frutas, adicionada de Flores  PANCs|andressa carolina jacques|01/03/2018 - 31/12/2019
Geração de Resíduo Zero no Reaproveitamento de Subprodutos da Indústria de Alimentos|Luciana Machado Rodrigues|15/06/2017 - 14/05/2019
História em Quadrinhos sobre o Bioma Pampa em Ciências da Natureza: uma proposta para o Ensino Fundamental|Camila Aparecida Tolentino Cicuto|01/11/2018 - 28/08/2020
IDENTIFICAÇÃO E CARACTERIZAÇÃO DO MEL PRODUZIDO NA REGIÃO DA CAMPANHA|ESTEVÃN MARTINS DE OLIVEIRA|12/12/2018 - 18/12/2021
Implementação de modelos termodinâmicos para o cálculo de predição de cera em escoamento de óleos parafínicos|Leandro Blass|10/02/2018 - 31/12/2019
Indicadores de Saúde e de Estilo de Vida dos Universitários da UNIPAMPA|Marcio Neres dos Santos|20/11/2017 - 30/07/2019
Interculturalidade e aprendizagem de línguas e literatura|moacir lopes de camargos|11/09/2017 - 31/12/2019
Laboratório de Investigações Matemáticas|SONIA MARIA DA SILVA JUNQUEIRA|25/08/2017 - 25/08/2019
LEITE ADULTERANTES|ESTEVÃN MARTINS DE OLIVEIRA|21/03/2019 - 20/12/2019
Letramento literário em ambientes digitais na formação continuada de professores da rede pública de ensino|Vera Lúcia Cardoso Medeiros|01/05/2019 - 30/04/2023
Linguística educacional: educação linguística, cenário/s, crenças e atitudes dos discentes do curso de Letras Línguas Adicionais em processo de formação.|Isaphi Marlene Jardim Alvarez|01/11/2018 - 01/11/2020
Lipídios Estruturados Desenvolvidos a partir de Óleos e Gorduras da Região do Pampa|Valéria Terra Crexi|01/06/2018 - 30/06/2020
MALHA DE CONTROLE|ESTEVÃN MARTINS DE OLIVEIRA|21/03/2019 - 20/12/2019
Materiais didáticos autorais e avaliação no ensino: políticas educacionais situadas|Valesca Brasil Irala|12/05/2017 - 12/04/2021
Materiais magnéticos nanoestruturados: Produção e caracterização in-situ|ANDRE GUNDEL|01/04/2018 - 30/04/2020
Modelagem do gaseificador de carvão mineral do LEC/UNIPAMPA pela abordagem de rede equivalente de reatores químicos|Rodolfo Rodrigues|15/03/2018 - 15/03/2020
Modelagem matemática da secagem e armazenagem de grãos de soja|Anderson Luis Jeske Bihain|01/03/2017 - 28/02/2020
Modelagem Matemática de Processos de Separação em Leito Móvel Simulado (SMB-Simulated Moving Bed) com eluição por gradiente|Anderson Luis Jeske Bihain|01/02/2017 - 31/12/2020
Modelagem, análise e projeto de sistemas elétricos industriais através do EMTP/ATP|Luiz Fernando de Freitas Gutierres|04/06/2018 - 27/05/2022
NEUTRALIZAÇÃO E BRANQUEAMENTO DO ÓLEO DE FARELO DE ARROZ|Valéria Terra Crexi|05/06/2019 - 05/06/2021
Novas Abordagens de Síntese para Tecnologias Emergentes|Julio Saraçol Domingues Júnior|01/04/2018 - 31/12/2020
O Programa de Residência Pedagógica na UNIPAMPA: desafios à formação acadêmico-profissional dos estudantes de cursos de licenciatura|Claudete da Silva Lima Martins|13/05/2019 - 31/12/2020
Obtenção de material bioativo a partir de cinzas de casca de arroz|Maria Alejandra Liendo|01/05/2017 - 30/04/2019
Obtenção e caracterização de filmes finos de óxido de zinco para aplicação em dispositivos optoeletrônicos|Eduardo Ceretta Moreira|01/03/2016 - 28/02/2020
Olivicultura na Região do Pampa: Caracterização Físico-Química das Azeitonas, Extração e Determinação dos Padrões de Identidade e Qualidade dos Azeites. Coordenador|Valéria Terra Crexi|01/06/2018 - 30/08/2019
Os efeitos e a durabilidade da instrução com foco na forma no processo de aprendizagem dos clíticos em espanhol por universitários brasileiros: um estudo comparativo Coordenador|Eduardo de Oliveira Dutra|05/05/2019 - 05/12/2020
Os sentidos pedagógicos e políticos das greves do CPERS/Sindicato entre as décadas de 1980 e 1990 no jornal Correio do Sul do município de Bagé/RS|Alessandro Carvalho Bica|01/12/2016 - 01/12/2020
Perfil do Potencial da Indústria Química na Região da Campanha|Sergio Meth|01/05/2018 - 30/04/2022
Pesquisa sobre a produção de bebida fermentada gaseificada sem glúten a base de arroz|Tânia Regina de Souza|15/03/2019 - 15/12/2020
PET AR|ESTEVÃN MARTINS DE OLIVEIRA|21/03/2019 - 20/12/2019
Práticas Pedagógicas em Ensino de Ciências|Guilherme Frederico Marranghello|01/06/2011 - 01/06/2020
Processo de segunda ordem e efeitos não locais para um modelo bosônico integrável num potencial com três poços alinhados|Arlei Prestes Tonel|01/11/2017 - 30/10/2020
PRODUÇÃO DE COMBUSTÍVEIS A PARTIR DE RESÍDUOS ORGÂNICOS|Sabrina Neves da Silva|10/07/2018 - 10/12/2020
PROJETO BIOGÁS/RSUs: Avaliação do Potencial de Geração de Energia Renovável Proveniente de Resíduos Sólidos Urbanos Biogaseificados (Biogás)|Cristine Machado Schwanke|01/06/2017 - 31/05/2021
PROJETO E CONSTRUÇÃO DE MÓDULO MULTIFUNCIONAL DIDÁTICO-INDUSTRIAL DE PRODUÇÃO DE BIOENERGIA: 1ª. ETAPA|Cristine Machado Schwanke|13/04/2019 - 31/03/2023
Propriedades ópticas e estruturais de compostos orgânicos com aplicação em optoeletrônica|Eduardo Ceretta Moreira|12/03/2018 - 12/03/2022
Qualifica dos ácidos graxos de microalgas por espectroscopia Raman.|Paulo Fernando Marques Duarte Filho|19/05/2018 - 31/12/2020
Quantificação de fitoquímicos em frutos e hortaliças e avaliação de sua estabilidade em produtos derivados.|Miriane Lucas Azevedo|30/06/2016 - 29/06/2020
Relações entre o sistema solo-planta-animal e a produção agropecuária|Ana Paula Ludtke Ferreira|01/03/2017 - 28/02/2020
REPE REVISTA ELETRÔNICA DE PESQUISA EM ENGENHARIA|ESTEVÃN MARTINS DE OLIVEIRA|21/03/2019 - 20/12/2019
SECAGEM E DESIDRATAÇÃO OSMÓTICA DE MATERIAIS BIOLÓGICOS IN NATURA E PRÉ-TRATADO OSMOTICAMENTE|Marcilio Machado Morais|01/03/2017 - 31/12/2019
Sequência do Desenvolvimento de inibidores naturais de corrosão (II)|Alexandre Ferreira Galio|15/02/2018 - 11/02/2022
