Campus,Curso,Turno,Número de Semestres ,Carga Horária ,Grau ,Modalidade
Alegrete,Mestrado em Engenharia de Software,Integral,0,360,Mestre,Presencial
Alegrete,Especialização em Engenharia Econômica,Integral,0,360, ESPECIALISTA,Presencial
Alegrete,Mestrado em Engenharia Elétrica,Integral,0,360,Mestre,Presencial
Alegrete,Mestrado em Engenharias,Integral,0,360,Mestre,Presencial
