Estudo experimental de resistência do concreto|Luis Kosteski|01/03/2018 - 28/02/2022
Framework de avaliação de sistemas legados|Andréa Sabedra Bordin|01/05/2019 - 20/12/2021
Fundamentação para Transferência de Tecnologia no MDE como um Serviço|Fabio Paulo Basso|15/01/2018 - 31/12/2020
ID Digital: Identificac?a?o e Autenticac?a?o Digital Segura|DIEGO LUIS KREUTZ|20/03/2019 - 31/12/2020
Implementação de uma Micro-rede de Energia Utilizando o Conceito da Máquina Síncrona Virtual|Márcio Stefanello|01/06/2018 - 31/08/2021
Implementação de uma Micro-Rede de Energia Utilizando o Conceito da Máquina Síncrona Virtual |Márcio Stefanello|01/08/2017 - 01/08/2020
Inovação Tecnológica em Eficiência Energética e Microgeração na UNIPAMPA|José Wagner Maciel Kaehler|30/10/2017 - 31/12/2019
Investigação da camada limite planetária através do emprego de dados observacionais e modelagem numérica|Luiz Eduardo Medeiros|01/04/2018 - 31/12/2021
Linguagem Específica de Domínio|Maicon Bernardino da Silveira|16/02/2017 - 31/12/2019
Medições de descolamentos em estruturas, combinando inclinômetros e acelerômetros|Luis Kosteski|01/04/2019 - 31/03/2023
Monitoramento Distribuído e Eficiente de Infraestruturas de Rede baseadas em Software|Marcelo Caggiani Luizelli|01/05/2018 - 31/12/2020
Otimização da extração de sílica a partir da casca do arroz e cinza de casca de arroz|chiara valsecchi|01/04/2019 - 15/12/2021
Otimização da extração de sílica a partir da casca do arroz e sua utilização na fabricação de vidros e suas aplicações|jacson weber de menezes|01/04/2018 - 31/03/2022
Otimização de Algoritmos de Detecção de Alvos para Radares SAR UWB de Baixa Frequência|Dimas Irion Alves|05/10/2017 - 31/12/2019
ParaElastic: Provendo e Abstraindo o Paralelismo e a Elasticidade Automática em Aplicações de Streaming|Claudio Schepke|01/01/2018 - 31/12/2019
Processamento e Análise de Imagens Médicas com Base em Modelos Esparsos e de Múltiplas Camadas|Eliezer Soares Flores|01/05/2019 - 31/12/2022
Projeto de um Veículo Aéreo Não Tripulado (VANT) com aerodinâmica, estrutura, e moto propulsão otimizada para competição aerodesing SAE Brasil nas classes Micro e Regular.|Mauricio Paz França|22/05/2017 - 15/12/2020
Projeto e Desenvolvimento de Moduladores Sigma-Delta em Tempo Contínuo para Aplicações Sub-1V|Paulo César Comassetto de Aguirre|13/09/2017 - 12/09/2020
Projeto e implementação de técnicas de controle e modulação para conversores estáticos de potência aplicados à conexão de geração distribuída à rede elétrica.|Felipe Bovolini Grigoletto|01/08/2017 - 30/07/2021
Projeto e modelo de elementos magnéticos para elevadas frequências e classes de isolação|Natalia Braun Chagas|01/11/2016 - 31/12/2019
Projeto GirAnt|Edson Rodrigo Schlosser|01/10/2017 - 10/12/2020
Projeto, fabricação e caracterização de nanoestruturas geradas pela superposição de feixes laser para aplicação em fotônica e plasmônica|jacson weber de menezes|01/04/2018 - 31/03/2021
Proposta de Benchmark para Análise de Desempenho e Energia de Arquiteturas Computacionais usando Diferentes Interfaces de Programação Paralela|Claudio Schepke|10/03/2018 - 31/12/2020
Proposta de questionário padronizado usando Teoria de Resposta ao Item para avaliação de Experiência de Usuário em ambientes imersivos de Realidade Virtual|Jean Felipe Patikowski Cheiran|01/01/2019 - 31/12/2022
Prospecção da utilização de radares de abertura sintética para aplicações em agricultura e monitoramento ambiental|Marcos Vinício Thomas Heckler|01/05/2019 - 31/07/2021
Qualidade de Energia e Estabilidade Dinâmica em Redes Elétricas Aeronáuticas  Revisão da Área de Tendências|Márcio Stefanello|01/07/2019 - 31/12/2020
Reação Álcali-Agregado: Caracterização e avaliação do comportamento de agregados da região Sudoeste do Rio Grande do Sul frente a diferentes tipos de Cimentos Portland|Simone Dornelles venquiaruto|01/05/2018 - 01/05/2021
Recomendação de Interesses de Ensino, Pesquisa e Extensão|Andréa Sabedra Bordin|01/04/2019 - 01/08/2021
Reconhecimento de emoções em faces humanas utilizando deep neural network aplicado a interação humano computador e perfil de consumidores.|Alessandro Bof de Oliveira|01/08/2018 - 31/07/2020
Redução de Custo em Matéria Prima do Implemento Agrícola Multisulcadora através da Mudança de Layout do Produto|Alexandre Silva de Oliveira|01/10/2018 - 30/05/2019
Resposta da pimenta espaguetinho ornamental cultivada em diferentes substratos e submetida a distintas doses de irrigação|Fátima Cibele Soares|15/01/2017 - 31/12/2019
Segurança e Dependabilidade de Sistemas e Dados|DIEGO LUIS KREUTZ|01/04/2018 - 01/12/2021
Simetria em Códigos Polares|Jorge P Arpasi|01/09/2018 - 31/08/2020
Síntese de carvão ativado com baixo consumo energético e alta aplicabilidade a partir de resíduos da indústria do arroz|ANA PAULA GARCIA|01/11/2017 - 01/11/2019
Sistema auxiliar de localização indoor para pessoas cegas baseado em visão computacional e deep neural networks.|Alessandro Bof de Oliveira|01/08/2018 - 31/07/2020
Sistemas de modulação, controle e operação de conversores multiníveis modulares|Felipe Bovolini Grigoletto|01/02/2017 - 01/02/2020
Si?ntese Automa?tica de Circuitos Analo?gicos Integrados Incluindo Otimizac?a?o de Produtividade  Fase II|Alessandro Gonçalves Girardi|15/02/2017 - 15/02/2021
Tecnologia de Concretos e Compósitos Especiais: Ênfase em Durabilidade e Sustentabilidade|Fernanda|01/04/2018 - 28/02/2021
Teste de Software|Elder de Macedo Rodrigues|03/07/2018 - 03/09/2021
Transceptores de RF operando com ultrabaixa tensão de alimentação|Lucas Compassi Severo|02/04/2018 - 01/04/2022
Uma Abordagem Automática, Dinâmica e Transparente para Otimizar o Desempenho e Consumo de Energia de Aplicações Paralelas em Sistemas de Propósito Geral e Embarcados|Arthur Francisco Lorenzon|01/08/2018 - 01/10/2021
Uma Linguagem de Modelagem de Domínio Específico para Sistemas Autoadaptativos|João Pablo Silva da Silva|01/03/2019 - 31/12/2021
Validação e Desenvolvimento de Técnicas de Inspeção em Modelos UML|Gilleanes Thorwald Araujo Guedes|01/04/2019 - 01/04/2021
Verificação de Sistemas Críticos Evolutivos|Letícia Gindri|05/04/2018 - 31/03/2020</li><br></ul>
